timestamp,timeframe,signal,buy,sell,neutral,error
2026-01-03T22:59:13.179697,15 Minutes,SELL,7.0,10.0,9.0,
2026-01-03T22:59:13.179697,1 Hour,NEUTRAL,8.0,8.0,10.0,
2026-01-03T22:59:13.179697,4 Hour,BUY,14.0,2.0,10.0,
2026-01-03T22:59:13.179697,1 Day,NEUTRAL,10.0,8.0,8.0,
2026-01-03T23:00:32.640270,1 Minute,ERROR,,,,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
2026-01-03T23:00:32.640270,5 Minutes,ERROR,,,,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
2026-01-03T23:00:32.640270,15 Minutes,ERROR,,,,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
2026-01-03T23:00:32.640270,1 Hour,ERROR,,,,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
2026-01-03T23:00:32.640270,4 Hour,ERROR,,,,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
2026-01-03T23:00:32.640270,1 Day,ERROR,,,,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
2026-01-03T23:12:59.103182,1 Minute,SELL,1.0,15.0,10.0,
2026-01-03T23:12:59.103182,5 Minutes,SELL,3.0,15.0,8.0,
2026-01-03T23:12:59.103182,15 Minutes,SELL,3.0,13.0,10.0,
2026-01-03T23:12:59.103182,1 Hour,NEUTRAL,8.0,9.0,9.0,
2026-01-03T23:12:59.103182,4 Hour,BUY,13.0,3.0,10.0,
2026-01-03T23:12:59.103182,1 Day,NEUTRAL,10.0,8.0,8.0,
2026-01-03T23:19:19.562513,1 Minute,SELL,4.0,13.0,9.0,
2026-01-03T23:19:19.562513,5 Minutes,SELL,3.0,14.0,9.0,
2026-01-03T23:19:19.562513,15 Minutes,SELL,5.0,12.0,9.0,
2026-01-03T23:19:19.562513,1 Hour,NEUTRAL,8.0,9.0,9.0,
2026-01-03T23:19:19.562513,4 Hour,BUY,14.0,2.0,10.0,
2026-01-03T23:19:19.562513,1 Day,NEUTRAL,10.0,8.0,8.0,
2026-01-04T08:56:49.297547,1 Minute,NEUTRAL,7.0,10.0,9.0,
2026-01-04T08:56:49.297547,5 Minutes,BUY,13.0,3.0,10.0,
2026-01-04T08:56:49.297547,15 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T08:56:49.297547,1 Hour,BUY,16.0,1.0,9.0,
2026-01-04T08:56:49.297547,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T08:56:49.297547,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:01:18.956623,1 Minute,BUY,12.0,5.0,9.0,
2026-01-04T09:01:18.956623,5 Minutes,STRONG_BUY,15.0,1.0,10.0,
2026-01-04T09:01:18.956623,15 Minutes,BUY,14.0,5.0,7.0,
2026-01-04T09:01:18.956623,30 Minutes,BUY,15.0,3.0,8.0,
2026-01-04T09:01:18.956623,1 Hour,BUY,15.0,4.0,7.0,
2026-01-04T09:01:18.956623,2 Hour,BUY,15.0,2.0,9.0,
2026-01-04T09:01:18.956623,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T09:01:18.956623,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:01:18.956623,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T09:18:38.921342,1 Minute,BUY,15.0,4.0,7.0,
2026-01-04T09:18:38.921342,5 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T09:18:38.921342,15 Minutes,BUY,15.0,2.0,9.0,
2026-01-04T09:18:38.921342,30 Minutes,STRONG_BUY,16.0,3.0,7.0,
2026-01-04T09:18:38.921342,1 Hour,BUY,15.0,3.0,8.0,
2026-01-04T09:18:38.921342,2 Hour,BUY,15.0,2.0,9.0,
2026-01-04T09:18:38.921342,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T09:18:38.921342,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:18:38.921342,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T09:19:16.941169,1 Minute,BUY,16.0,2.0,8.0,
2026-01-04T09:19:16.941169,5 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T09:19:16.941169,15 Minutes,BUY,15.0,2.0,9.0,
2026-01-04T09:19:16.941169,30 Minutes,STRONG_BUY,17.0,2.0,7.0,
2026-01-04T09:19:16.941169,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T09:19:16.941169,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T09:19:16.941169,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T09:19:16.941169,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:19:16.941169,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T09:30:58.238639,1 Minute,NEUTRAL,9.0,8.0,9.0,
2026-01-04T09:30:58.238639,5 Minutes,BUY,14.0,2.0,10.0,
2026-01-04T09:30:58.238639,15 Minutes,BUY,15.0,5.0,6.0,
2026-01-04T09:30:58.238639,30 Minutes,BUY,14.0,7.0,5.0,
2026-01-04T09:30:58.238639,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T09:30:58.238639,2 Hour,BUY,15.0,1.0,10.0,
2026-01-04T09:30:58.238639,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T09:30:58.238639,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:30:58.238639,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T09:37:50.390300,1 Minute,STRONG_BUY,15.0,1.0,10.0,
2026-01-04T09:37:50.390300,5 Minutes,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T09:37:50.390300,15 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T09:37:50.390300,30 Minutes,BUY,15.0,3.0,8.0,
2026-01-04T09:37:50.390300,1 Hour,BUY,15.0,1.0,10.0,
2026-01-04T09:37:50.390300,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T09:37:50.390300,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T09:37:50.390300,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:37:50.390300,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T09:47:33.051617,1 Minute,SELL,4.0,12.0,10.0,
2026-01-04T09:47:33.051617,5 Minutes,BUY,12.0,5.0,9.0,
2026-01-04T09:47:33.051617,15 Minutes,BUY,14.0,3.0,9.0,
2026-01-04T09:47:33.051617,30 Minutes,BUY,14.0,5.0,7.0,
2026-01-04T09:47:33.051617,1 Hour,BUY,15.0,4.0,7.0,
2026-01-04T09:47:33.051617,2 Hour,BUY,15.0,2.0,9.0,
2026-01-04T09:47:33.051617,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T09:47:33.051617,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T09:47:33.051617,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:01:25.341640,1 Minute,BUY,16.0,2.0,8.0,
2026-01-04T10:01:25.341640,5 Minutes,BUY,15.0,1.0,10.0,
2026-01-04T10:01:25.341640,15 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T10:01:25.341640,30 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T10:01:25.341640,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T10:01:25.341640,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T10:01:25.341640,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:01:25.341640,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:01:25.341640,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:07:16.769458,1 Minute,BUY,13.0,3.0,10.0,
2026-01-04T10:07:16.769458,5 Minutes,BUY,14.0,3.0,9.0,
2026-01-04T10:07:16.769458,15 Minutes,BUY,15.0,2.0,9.0,
2026-01-04T10:07:16.769458,30 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T10:07:16.769458,1 Hour,BUY,15.0,3.0,8.0,
2026-01-04T10:07:16.769458,2 Hour,BUY,15.0,2.0,9.0,
2026-01-04T10:07:16.769458,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:07:16.769458,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:07:16.769458,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:11:28.501152,1 Minute,SELL,5.0,12.0,9.0,
2026-01-04T10:11:28.501152,5 Minutes,NEUTRAL,7.0,9.0,10.0,
2026-01-04T10:11:28.501152,15 Minutes,BUY,12.0,4.0,10.0,
2026-01-04T10:11:28.501152,30 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T10:11:28.501152,1 Hour,BUY,14.0,4.0,8.0,
2026-01-04T10:11:28.501152,2 Hour,BUY,14.0,3.0,9.0,
2026-01-04T10:11:28.501152,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:11:28.501152,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:11:28.501152,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:16:21.845038,1 Minute,BUY,15.0,1.0,10.0,
2026-01-04T10:16:21.845038,5 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T10:16:21.845038,15 Minutes,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:16:21.845038,30 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T10:16:21.845038,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T10:16:21.845038,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T10:16:21.845038,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:16:21.845038,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:16:21.845038,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:31:32.049138,1 Minute,BUY,13.0,3.0,10.0,
2026-01-04T10:31:32.049138,5 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T10:31:32.049138,15 Minutes,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T10:31:32.049138,30 Minutes,BUY,15.0,3.0,8.0,
2026-01-04T10:31:32.049138,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T10:31:32.049138,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T10:31:32.049138,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:31:32.049138,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:31:32.049138,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:47:01.469618,1 Minute,NEUTRAL,7.0,11.0,8.0,
2026-01-04T10:47:01.469618,5 Minutes,BUY,13.0,3.0,10.0,
2026-01-04T10:47:01.469618,15 Minutes,BUY,14.0,3.0,9.0,
2026-01-04T10:47:01.469618,30 Minutes,BUY,15.0,5.0,6.0,
2026-01-04T10:47:01.469618,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T10:47:01.469618,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T10:47:01.469618,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:47:01.469618,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:47:01.469618,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T10:50:21.229687,1 Minute,NEUTRAL,9.0,8.0,9.0,
2026-01-04T10:50:21.229687,5 Minutes,BUY,13.0,3.0,10.0,
2026-01-04T10:50:21.229687,15 Minutes,BUY,15.0,2.0,9.0,
2026-01-04T10:50:21.229687,30 Minutes,BUY,15.0,3.0,8.0,
2026-01-04T10:50:21.229687,1 Hour,BUY,15.0,2.0,9.0,
2026-01-04T10:50:21.229687,2 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T10:50:21.229687,4 Hour,STRONG_BUY,17.0,0.0,9.0,
2026-01-04T10:50:21.229687,1 Day,BUY,11.0,6.0,9.0,
2026-01-04T10:50:21.229687,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T11:06:53.601265,1 Minute,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:06:53.601265,5 Minutes,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T11:06:53.601265,15 Minutes,STRONG_BUY,17.0,1.0,8.0,
2026-01-04T11:06:53.601265,30 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:06:53.601265,1 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:06:53.601265,2 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:06:53.601265,4 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T11:06:53.601265,1 Day,BUY,12.0,5.0,9.0,
2026-01-04T11:06:53.601265,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T11:07:28.377819,1 Minute,BUY,14.0,3.0,9.0,
2026-01-04T11:07:28.377819,5 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:07:28.377819,15 Minutes,STRONG_BUY,17.0,1.0,8.0,
2026-01-04T11:07:28.377819,30 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:07:28.377819,1 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:07:28.377819,2 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:07:28.377819,4 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T11:07:28.377819,1 Day,BUY,12.0,5.0,9.0,
2026-01-04T11:07:28.377819,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T11:16:29.323783,1 Minute,BUY,14.0,2.0,10.0,
2026-01-04T11:16:29.323783,5 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T11:16:29.323783,15 Minutes,BUY,15.0,3.0,8.0,
2026-01-04T11:16:29.323783,30 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:16:29.323783,1 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:16:29.323783,2 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:16:29.323783,4 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T11:16:29.323783,1 Day,BUY,12.0,5.0,9.0,
2026-01-04T11:16:29.323783,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T11:37:58.665266,1 Minute,NEUTRAL,7.0,10.0,9.0,
2026-01-04T11:37:58.665266,5 Minutes,BUY,14.0,2.0,10.0,
2026-01-04T11:37:58.665266,15 Minutes,BUY,15.0,2.0,9.0,
2026-01-04T11:37:58.665266,30 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:37:58.665266,1 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T11:37:58.665266,2 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:37:58.665266,4 Hour,BUY,15.0,2.0,9.0,
2026-01-04T11:37:58.665266,1 Day,BUY,12.0,6.0,8.0,
2026-01-04T11:37:58.665266,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T11:49:15.325400,1 Minute,BUY,15.0,3.0,8.0,
2026-01-04T11:49:15.325400,5 Minutes,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T11:49:15.325400,15 Minutes,BUY,15.0,2.0,9.0,
2026-01-04T11:49:15.325400,30 Minutes,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:49:15.325400,1 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:49:15.325400,2 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T11:49:15.325400,4 Hour,STRONG_BUY,15.0,1.0,10.0,
2026-01-04T11:49:15.325400,1 Day,BUY,12.0,5.0,9.0,
